Year,P,r0,K,B0
2019,-12.724153895817066,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2020,-12.851395434775238,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2021,-12.979909389122989,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2022,-13.10970848301422,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2023,-13.24080556784436,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2024,-13.373213623522805,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2025,-13.506945759758034,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2026,-13.642015217355613,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2027,-13.778435369529172,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2028,-13.916219723224462,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2029,-14.055381920456709,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2030,-14.195935739661273,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2031,-14.337895097057887,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2032,-14.481274048028466,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2033,-14.62608678850875,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2034,-14.772347656393837,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2035,-14.920071132957776,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2036,-15.069271844287355,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2037,-15.219964562730228,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2038,-15.372164208357532,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2039,-15.525885850441105,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2040,-15.681144708945517,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2041,-15.837956156034974,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2042,-15.996335717595324,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2043,-16.156299074771276,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2044,-16.317862065518987,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2045,-16.48104068617418,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2046,-16.645851093035922,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2047,-16.81230960396628,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2048,-16.980432700005945,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2049,-17.150237027006,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2050,-17.321739397276062,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
