Year,P,r0,K,B0
2019,-12.472190452335541,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2020,-12.347468547812186,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2021,-12.223993862334064,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2022,-12.101753923710723,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2023,-11.980736384473614,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2024,-11.860929020628879,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2025,-11.74231973042259,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2026,-11.624896533118363,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2027,-11.50864756778718,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2028,-11.393561092109309,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2029,-11.279625481188216,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2030,-11.166829226376331,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2031,-11.05516093411257,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2032,-10.944609324771442,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2033,-10.835163231523728,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2034,-10.72681159920849,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2035,-10.619543483216406,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2036,-10.513348048384243,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2037,-10.4082145679004,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2038,-10.304132422221395,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2039,-10.201091097999182,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2040,-10.099080187019188,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2041,-9.998089385148997,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2042,-9.898108491297508,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2043,-9.799127406384532,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2044,-9.701136132320686,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2045,-9.60412477099748,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2046,-9.508083523287507,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2047,-9.41300268805463,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2048,-9.318872661174083,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2049,-9.225683934562344,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
2050,-9.133427095216721,2.278167548071201e-06,0.5711284381885653,0.4904659556682169
